trajectory,X_index1,x_index2,x1,y1,x2,y2,A,B,duration,length
929,12031,12163,120.25,56.02753463203354,153.25,65.00431980106407,23.31667352367232,0.27202379300092494,33,8.976785169030528
929,12163,12220,153.25,-126.99876043557015,167.5,176.36621616541515,-3389.502807039146,21.288770287788424,14.25,303.3649766009853
929,12220,12486,167.5,76.58331722564989,234,92.8804766066098,35.53408119090124,0.24507006587909644,66.5,16.29715938095991
929,12486,12585,234,188.4276539394018,258.75,-0.2557897340825548,1972.343848670525,-7.623573481756937,24.75,-188.68344367348436
929,12585,12630,258.75,-45.11255265708314,270,196.70925959588203,-5607.014234475287,21.49527220026359,11.25,241.82181225296517
929,12630,12645,270,406.1228499997669,273.75,-248.43225714310393,47534.090564286365,-174.54802857143184,3.75,-654.5551071428708
929,12645,12741,273.75,111.23978629725832,297.75,66.62792346491824,620.0938467286383,-1.8588276180141732,24,-44.61186283234008
929,12741,12987,297.75,190.09842217174705,359.25,192.78848050437875,177.07460317107893,0.0437407858964504,61.5,2.6900583326317076
929,12987,13005,359.25,-15.256286549778451,363.75,60.34726143783337,-6050.93953422745,16.800788441691502,4.5,75.60354798761182
929,13005,13047,363.75,259.5346356584496,374.25,171.30826016213268,3315.94835820943,-8.402511952030187,10.5,-88.2263754963169
929,13047,13081,374.25,-74.69961176445577,382.75,320.43704278099904,-17472.33407807451,46.48666524064143,8.5,395.1366545454548
929,13081,13101,382.75,-3.4174714283144567,387.75,399.0291000002326,-30810.702514283603,80.48931428570944,5,402.44657142854703
929,13101,13119,387.75,-43.36371930332825,392.25,425.5141568576655,-40445.00738184207,104.19508359133138,4.5,468.87787616099376
929,13119,13196,392.25,233.48068831170258,411.5,26.869556732766796,4443.517901913661,-10.733045796308371,19.25,-206.61113157893578
929,13196,13274,411.5,195.45491431350183,431,-62.77376923079919,5644.742261927845,-13.242496592015415,19.5,-258.228683544301
929,13274,13362,431,130.70642543412328,453,27.85324294669863,2145.6937732559422,-4.675144658519302,22,-102.85318248742465
929,13362,13422,453,320.97228524595084,468,51.768179661099566,8450.93627390846,-17.94694037232342,15,-269.2041055848513
929,13422,13455,468,201.93404812836525,476.25,-186.77642613634453,22252.419133690146,-47.116421122995256,8.25,-388.7104742647098
929,13455,13474,476.25,166.0923105263064,481,-69.6204561403647,23799.39865263202,-49.62374035087814,4.75,-235.7127666666711
929,13474,13498,481,195.17293666802834,487,65.6746340593254,10576.620195799012,-21.58305043478375,6,-129.49830260870294
929,13498,13516,487,394.6039999432978,491.5,3605.433764649031,-347088.52831376175,713.5177254901541,4.5,3210.8297647057334
929,13516,13521,491.5,3198.572400199133,492.75,3979.466400201898,-303848.94840087893,624.7152000021935,1.25,780.8940000027651
929,13521,13530,492.75,4621.319088682649,495,5654.403138684342,-221624.08786168983,459.14846666742255,2.25,1033.084050001693
929,13530,13535,495,5360.29079971317,496.25,6585.961299705494,-480005.2271972656,980.5363999938965,1.25,1225.670499992324
929,13535,13580,496.25,6491.569177776455,507.5,7023.76822323064,-16984.32204948031,47.30658181814965,11.25,532.1990454541847
968,13581,13592,0,-243.06454545454554,2.75,29.64805454545447,-243.06454545454554,99.16821818181818,2.75,272.7126
968,13592,13664,2.75,119.67456744242989,21,-140.77986207277453,158.92112531458397,-14.271475589874214,18.25,-260.4544295152044
968,13664,13686,21,-296.2553636363632,26.5,291.69035064934997,-2541.138999999995,106.89922077922057,5.5,587.9457142857132
968,13686,13707,26.5,-126.44488744588294,31.75,-101.88762380951886,-250.40059913419688,4.677574025974111,5.25,24.557263636364084
968,13707,13756,31.75,63.216497142856156,44,-227.9890178571436,817.9736482653047,-23.771878775510192,12.25,-291.20551499999976
968,13756,13811,44,-33.64067402597448,57.75,165.51969898989876,-670.9538676767688,14.484390764790781,13.75,199.16037301587323
968,13811,13848,57.75,68.76960312944334,67,-191.1805810810822,1691.7018342816432,-28.10272261735411,9.25,-259.95018421052555
968,13848,13873,67,-331.08248923076553,73.25,293.52153000000635,-7026.837575384631,99.93664307692337,6.25,624.6040192307719
968,13873,13914,73.25,147.06137979094137,83.5,-147.322598780489,2250.8298120209183,-28.720388153310267,10.25,-294.38397857143036
968,13914,14022,83.5,20.103417770982183,110.5,41.5658267566641,-46.27106927733045,0.794904036506738,27,21.46240898568192
968,14022,14035,110.5,-226.46297802206755,113.75,-0.2571923077730389,-7917.459692308083,69.60178021978294,3.25,226.2057857142945
968,14035,14060,113.75,261.22344923076344,120,-296.70082000000366,10415.445149230725,-89.26788307692274,6.25,-557.9242692307671
968,14060,14078,120,-441.2393157894694,124.5,137.9102941176552,-15885.228913312767,128.69991331269415,4.5,579.1496099071246
968,14078,14139,124.5,27.2257012162907,139.75,88.52767540983842,-473.23959629824645,4.019801586462146,15.25,61.30197419354772
968,14139,14184,139.75,-178.43682705314495,151,66.01200101010272,-3215.034491216598,21.728784716733117,11.25,244.44882806324767
968,14184,14203,151,-251.36853157895166,155.75,264.06970175438255,-16636.878685964894,108.51331228070161,4.75,515.4382333333342
968,14203,14232,155.75,43.35470344829628,163,363.6221034482942,-6836.872544827534,44.17481379310324,7.25,320.2673999999979
968,14232,14294,163,100.25896313364228,178.5,316.2096282390221,-2170.7060957164845,13.932300974540654,15.5,215.9506651053798
968,14294,14347,178.5,105.33132914044927,191.75,269.00973512335213,-2099.694743912242,12.353087243992666,13.25,163.67840598290286
968,14347,14381,191.75,497.85939663839054,200.25,85.28524598905096,9805.046853933778,-48.538135370510496,8.5,-412.5741506493396
